,as_caida20040105,as_caida20040705,as_caida20050103,as_caida20050704,as_caida20060116,as_caida20060417,as_caida20060918,as_caida20070115,as_caida20070730,as_caida20071105,cit_citeseer,cit_cora,cit_dblp_cite,cit_HepPh,cit_HepTh,cit_Kohonen,cit_Lederberg,cit_SciMet,cit_Zewail,elec_b12_0,elec_b14s_0,elec_b15s_0,elec_b17s_0,elec_b20s_0,elec_b21s_0,elec_b22s_0,elec_s13207_0,elec_s15850_0,elec_s38417_0,elec_s38584_0,elec_s5378_0,elec_s9234_0,hl_berkstan_web,hl_foldoc,hl_google,hl_google_web,hl_notre_dame_web,hl_polblogs,hl_stanford_web,hl_trec_web,hl_wiki_hyperLink_uz,hl_wiki_link_dyn_add,hl_wiki_link_dyn_rem,soc_academia_eu,soc_email_Eu_core,soc_google_plus,soc_myspace_aminer,soc_qa_user_askubuntu,soc_qa_user_mathoverflow,soc_twitter_event_Cannes2013,soc_twitter_event_MoscvowAthletics2013,soc_twitter_event_NYClimateMarch2014,soc_wiki_talk_ar,soc_wiki_talk_fr,sps_nosym_amazon0302,sps_nosym_amazon0312,sps_nosym_amazon0505,sps_nosym_amazon0601,sps_nosym_amazon_2008,sps_nosym_barth,sps_nosym_barth4,sps_nosym_barth5,sps_nosym_California,sps_nosym_cnr_2000,sps_nosym_CSphd,sps_nosym_email_EuAll,sps_nosym_enron,sps_nosym_EPA,sps_nosym_EVA,sps_nosym_GD06_Java,sps_nosym_HEP_th,sps_nosym_higgs_twitter,sps_nosym_NotreDame_www,sps_nosym_p2p_Gnutella04,sps_nosym_p2p_Gnutella05,sps_nosym_p2p_Gnutella06,sps_nosym_p2p_Gnutella08,sps_nosym_p2p_Gnutella09,sps_nosym_p2p_Gnutella24,sps_nosym_p2p_Gnutella25,sps_nosym_p2p_Gnutella30,sps_nosym_p2p_Gnutella31,sps_nosym_rajat01,sps_nosym_Roget,sps_nosym_soc_Epinions1,sps_nosym_soc_Slashdot0811,sps_nosym_soc_Slashdot0902,sps_nosym_Stanford_Berkeley,sps_nosym_wb_cs_stanford,sps_nosym_wiki_Vote,sps_sym_ca_AstroPh,sps_sym_ccc,sps_sym_copter2,sps_sym_delaunay_n15,sps_sym_fe_rotor,sps_sym_ford1,sps_sym_g3rmt3m3,sps_sym_jagmesh5,sps_sym_lock2232,sps_sym_lshp2614,sps_sym_lshp3466,sps_sym_net100,sps_sym_net75,sps_sym_onera_dual,sps_sym_pct20stif,sps_sym_pkustk11,sps_sym_pkustk12,sps_sym_rajat08,sps_sym_s4dkt3m2,sps_sym_shock_9,sps_sym_vsp_befref_fxm_2_4_air02,sps_sym_vsp_model1_crew1_cr42_south31,sps_sym_vsp_p0291_seymourl_iiasa,sps_sym_vsp_sctap1_2b_and_seymourl,sps_sym_vsp_vibrobox_scagr7_2c_rlfddd,trsp_chicago_road,trsp_openflights,trsp_street_network_01_AL_cities_0107000_Birmingham,trsp_street_network_01_AL_counties_01073_Jefferson,trsp_street_network_04_AZ_counties_04013_Maricopa,trsp_street_network_06_CA_cities_0653000_Oakland,trsp_street_network_36_NY_cities_3651000_NewYork,trsp_street_network_36_NY_counties_36081_Queens,trsp_street_network_48_TX_urbanizedAreas_22042_Dallas_FortWorth_Arlingto
as_caida20040105,1.000000e+00,6.460613e-01,5.792813e-01,5.271217e-01,6.110182e-01,5.760701e-01,5.729078e-01,6.400922e-01,5.100898e-01,5.914405e-01,4.439811e-01,5.636391e-01,2.581870e-02,1.731372e-01,2.885619e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.763776e-03,4.090600e-02,1.387770e-02,2.583072e-03,7.738869e-03,5.671571e-01,6.051311e-03,2.853241e-03,1.148085e-02,3.087813e-02,2.808874e-01,1.005642e-02,3.946844e-01,2.795451e-02,0.000000e+00,9.896753e-02,1.542791e-01,8.729800e-02,4.769947e-01,2.686281e-01,2.987559e-01,6.045390e-02,1.663869e-03,1.813073e-03,1.817654e-03,1.800154e-03,1.182233e-03,0.000000e+00,0.000000e+00,0.000000e+00,4.746084e-03,5.716665e-03,0.000000e+00,1.269488e-01,2.007781e-01,0.000000e+00,0.000000e+00,8.353109e-02,2.885619e-02,3.782214e-03,1.671208e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.989559e-01,5.801206e-02,9.951204e-02,7.174141e-02,4.159908e-03,1.082778e-01,8.422175e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,6.721405e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20040705,,1.000000e+00,7.902905e-01,7.124243e-01,8.302518e-01,7.861740e-01,7.772500e-01,8.715207e-01,6.922255e-01,8.042277e-01,5.368510e-01,5.134275e-01,1.939527e-02,1.217426e-01,2.029043e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.684831e-03,5.622953e-02,1.744999e-02,3.333444e-03,1.043985e-02,4.019793e-01,8.032008e-03,3.927306e-03,1.536492e-02,4.198529e-02,3.816117e-01,1.376337e-02,2.802865e-01,3.798147e-02,0.000000e+00,1.349318e-01,2.108561e-01,1.186196e-01,6.539813e-01,3.650294e-01,4.053555e-01,8.245472e-02,2.274969e-03,2.457297e-03,2.457818e-03,2.435417e-03,1.604756e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.541675e-03,7.566794e-03,0.000000e+00,1.724572e-01,2.734727e-01,0.000000e+00,0.000000e+00,5.997613e-02,2.029043e-02,5.137707e-03,2.260174e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.411379e-01,7.907465e-02,1.360646e-01,9.799653e-02,5.794390e-03,1.451813e-01,6.125423e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,4.779192e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20050103,,,1.000000e+00,8.481121e-01,8.876147e-01,8.971713e-01,9.235109e-01,8.488150e-01,8.064321e-01,9.101682e-01,5.124618e-01,4.790138e-01,1.769878e-02,1.201835e-01,2.003058e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.488552e-03,6.800494e-02,1.996239e-02,3.869505e-03,1.283647e-02,3.542049e-01,9.846889e-03,4.505896e-03,1.825606e-02,5.075408e-02,4.499003e-01,1.609865e-02,2.371177e-01,4.375734e-02,0.000000e+00,1.601627e-01,2.470447e-01,1.440184e-01,7.791822e-01,4.404403e-01,4.789423e-01,9.770940e-02,2.754806e-03,2.845634e-03,2.833136e-03,2.807089e-03,1.857554e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.408257e-03,9.175068e-03,0.000000e+00,2.067262e-01,3.151692e-01,0.000000e+00,0.000000e+00,5.775994e-02,2.003058e-02,5.976531e-03,2.793681e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.378823e-01,9.313735e-02,1.617591e-01,1.161220e-01,6.333047e-03,1.849499e-01,5.342890e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,4.388379e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20050704,,,,1.000000e+00,8.061694e-01,8.128586e-01,8.689408e-01,7.741496e-01,8.955801e-01,8.354944e-01,4.776971e-01,4.320451e-01,1.436135e-02,1.141299e-01,1.902165e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.985127e-03,7.369250e-02,2.149741e-02,4.333084e-03,1.440265e-02,3.248264e-01,1.109678e-02,4.816958e-03,2.035472e-02,5.628279e-02,4.993326e-01,1.757264e-02,2.110452e-01,4.811271e-02,0.000000e+00,1.752199e-01,2.710948e-01,1.602202e-01,8.499278e-01,4.879893e-01,5.299541e-01,1.070846e-01,3.021458e-03,3.144356e-03,3.136108e-03,3.105604e-03,2.048786e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.711949e-03,1.040247e-02,0.000000e+00,2.285901e-01,3.457305e-01,0.000000e+00,0.000000e+00,5.240465e-02,1.902165e-02,6.588702e-03,3.107830e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.284913e-01,1.021869e-01,1.775573e-01,1.277851e-01,6.739104e-03,2.104239e-01,4.949434e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,4.026250e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20060116,,,,,1.000000e+00,8.807770e-01,8.781221e-01,8.856354e-01,7.774474e-01,9.091601e-01,5.164812e-01,4.843136e-01,1.781979e-02,1.174601e-01,1.957668e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.188562e-03,6.330571e-02,2.105566e-02,3.811660e-03,1.189069e-02,3.772275e-01,9.198887e-03,4.356462e-03,1.677612e-02,4.747212e-02,4.301986e-01,1.540499e-02,2.566720e-01,4.241489e-02,0.000000e+00,1.516704e-01,2.363073e-01,1.342589e-01,7.355962e-01,4.132300e-01,4.565343e-01,9.264557e-02,2.577072e-03,2.758261e-03,2.757594e-03,2.732010e-03,1.799682e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.844474e-03,8.763995e-03,0.000000e+00,1.950465e-01,3.056040e-01,0.000000e+00,0.000000e+00,5.697314e-02,1.957668e-02,5.758586e-03,2.560093e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.352798e-01,8.881026e-02,1.528795e-01,1.101436e-01,6.257143e-03,1.661439e-01,5.748766e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,4.537355e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20060417,,,,,,1.000000e+00,8.885136e-01,8.313431e-01,7.905251e-01,8.910127e-01,4.737903e-01,4.473480e-01,1.690447e-02,1.051489e-01,1.752481e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.196582e-03,6.359449e-02,2.205789e-02,3.938559e-03,1.179789e-02,3.606932e-01,9.101869e-03,4.497661e-03,1.722705e-02,4.749787e-02,4.348437e-01,1.566666e-02,2.501551e-01,4.328559e-02,0.000000e+00,1.531859e-01,2.396155e-01,1.340699e-01,7.429241e-01,4.144543e-01,4.620725e-01,9.360802e-02,2.588961e-03,2.814181e-03,2.817727e-03,2.792608e-03,1.836376e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.667184e-03,8.883105e-03,0.000000e+00,1.962728e-01,3.121886e-01,0.000000e+00,0.000000e+00,5.195409e-02,1.752481e-02,5.855887e-03,2.535299e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.220533e-01,9.002298e-02,1.542513e-01,1.112115e-01,6.597824e-03,1.612239e-01,5.481545e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,4.228055e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20060918,,,,,,,1.000000e+00,8.372982e-01,8.259188e-01,9.037298e-01,5.087400e-01,4.686955e-01,1.662646e-02,1.193542e-01,1.989237e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.550004e-03,6.865600e-02,2.055443e-02,3.966793e-03,1.311413e-02,3.521618e-01,1.004561e-02,4.556181e-03,1.908938e-02,5.167954e-02,4.592440e-01,1.635676e-02,2.317313e-01,4.456543e-02,0.000000e+00,1.625126e-01,2.511012e-01,1.468150e-01,7.904873e-01,4.490102e-01,4.892134e-01,9.919743e-02,2.799321e-03,2.907664e-03,2.896911e-03,2.870043e-03,1.897704e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.558731e-03,9.536482e-03,0.000000e+00,2.107382e-01,3.210939e-01,0.000000e+00,0.000000e+00,5.641121e-02,1.989237e-02,6.088681e-03,2.832232e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.359807e-01,9.468836e-02,1.643409e-01,1.181403e-01,6.406808e-03,1.886795e-01,5.314158e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,4.338838e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20070115,,,,,,,,1.000000e+00,7.413609e-01,8.669229e-01,5.551613e-01,5.166820e-01,1.852535e-02,1.294009e-01,2.156682e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.031066e-03,6.094266e-02,1.839240e-02,3.504898e-03,1.156324e-02,3.963134e-01,8.918812e-03,4.095688e-03,1.728723e-02,4.588131e-02,4.117961e-01,1.467705e-02,2.683410e-01,4.033981e-02,0.000000e+00,1.453653e-01,2.252268e-01,1.302041e-01,7.047046e-01,3.982623e-01,4.378676e-01,8.871729e-02,2.475173e-03,2.615761e-03,2.611778e-03,2.586361e-03,1.706630e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.857143e-03,8.217098e-03,0.000000e+00,1.870492e-01,2.898000e-01,0.000000e+00,0.000000e+00,6.165899e-02,2.156682e-02,5.494708e-03,2.499595e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.479263e-01,8.480216e-02,1.467025e-01,1.055319e-01,5.953203e-03,1.652322e-01,6.017051e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,4.788479e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20070730,,,,,,,,,1.000000e+00,7.939317e-01,4.347412e-01,4.018303e-01,1.400156e-02,1.004648e-01,1.674413e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.097628e-03,7.580970e-02,2.419235e-02,4.650310e-03,1.452439e-02,3.183117e-01,1.126978e-02,5.210433e-03,2.151922e-02,5.764066e-02,5.226027e-01,1.858321e-02,2.156529e-01,5.149997e-02,0.000000e+00,1.830637e-01,2.856771e-01,1.634022e-01,8.854777e-01,5.010317e-01,5.546500e-01,1.119086e-01,3.099036e-03,3.352094e-03,3.357311e-03,3.325474e-03,2.185165e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.789890e-03,1.068301e-02,0.000000e+00,2.363968e-01,3.701167e-01,0.000000e+00,0.000000e+00,4.748982e-02,1.674413e-02,6.992886e-03,3.122222e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.144664e-01,1.073401e-01,1.848223e-01,1.333050e-01,7.546264e-03,2.052535e-01,4.858974e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,3.796299e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
as_caida20071105,,,,,,,,,,1.000000e+00,5.302666e-01,4.829450e-01,1.681480e-02,1.239491e-01,2.065818e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.372088e-03,6.579971e-02,1.955255e-02,3.789009e-03,1.262052e-02,3.643206e-01,9.683140e-03,4.354074e-03,1.765846e-02,4.964164e-02,4.423364e-01,1.568208e-02,2.356073e-01,4.267113e-02,0.000000e+00,1.556752e-01,2.406632e-01,1.412637e-01,7.585606e-01,4.323148e-01,4.696825e-01,9.502617e-02,2.694904e-03,2.794282e-03,2.783960e-03,2.757955e-03,1.823160e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.481304e-03,9.253325e-03,0.000000e+00,2.024931e-01,3.073059e-01,0.000000e+00,0.000000e+00,5.813116e-02,2.065818e-02,5.841073e-03,2.715567e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.407639e-01,9.080903e-02,1.576555e-01,1.134088e-01,6.140776e-03,1.812842e-01,5.562095e-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000e+00,4.487949e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
